,Unnamed: 0,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
0,0,MS Dhoni (INDIA),2006-2019,98,97,91,57,34,57,0,5 (5ct 0st),0.938
1,1,AB de Villiers (SA),2006-2017,78,78,72,65,7,21,44,4 (4ct 0st),0.9229999999999999
2,2,D Ramdin (WI),2006-2019,71,71,63,43,20,43,0,4 (4ct 0st),0.887
3,3,Kamran Akmal (PAK),2006-2017,58,58,60,28,32,28,0,4 (0ct 4st),1.034
4,4,Mushfiqur Rahim (BDESH),2006-2019,84,82,59,31,28,30,1,3 (1ct 2st),0.7190000000000001
5,5,Mohammad Shahzad (AFG),2010-2018,65,65,54,26,28,26,0,5 (3ct 2st),0.83
6,6,DA Miller (SA/World),2010-2019,72,72,52,51,1,1,50,4 (4ct 0st),0.722
7,7,Umar Akmal (PAK),2009-2019,84,84,52,50,2,11,39,3 (3ct 0st),0.619
8,8,Shoaib Malik (ICC/PAK),2006-2019,111,111,50,50,0,0,50,3 (3ct 0st),0.45
9,9,Q de Kock (SA),2012-2019,38,38,46,36,10,36,0,4 (3ct 1st),1.21
10,10,MJ Guptill (NZ),2009-2019,83,82,46,46,0,0,46,3 (3ct 0st),0.56
11,11,GC Wilson (IRE),2008-2019,78,76,46,39,7,28,11,4 (3ct 1st),0.605
12,12,KC Sangakkara (SL),2006-2014,56,56,45,25,20,25,0,3 (2ct 1st),0.8029999999999999
13,13,Sarfaraz Ahmed (PAK),2010-2019,58,58,45,35,10,35,0,3 (3ct 0st),0.775
14,14,BB McCullum (NZ),2005-2015,71,71,44,36,8,24,12,3 (3ct 0st),0.619
15,15,LRPL Taylor (NZ),2006-2019,95,95,44,44,0,0,44,3 (3ct 0st),0.46299999999999997
16,16,DA Warner (AUS),2009-2019,76,76,43,43,0,0,43,3 (3ct 0st),0.565
17,17,SK Raina (INDIA),2006-2018,78,78,42,42,0,0,42,3 (3ct 0st),0.5379999999999999
18,18,Mohammad Nabi (AFG),2010-2019,75,75,41,41,0,0,41,3 (3ct 0st),0.546
19,19,RG Sharma (INDIA),2007-2019,104,104,38,38,0,0,38,3 (3ct 0st),0.365
20,20,LD Chandimal (SL),2010-2018,54,54,37,32,5,15,17,4 (4ct 0st),0.685
21,21,V Kohli (INDIA),2010-2019,75,75,37,37,0,0,37,3 (3ct 0st),0.493
22,22,EJG Morgan (ENG),2009-2019,86,86,37,37,0,0,37,3 (3ct 0st),0.43
23,23,GH Dockrell (IRE),2010-2019,73,70,36,36,0,0,36,3 (3ct 0st),0.514
24,24,DJ Bravo (WI),2006-2016,66,66,35,35,0,0,35,3 (3ct 0st),0.53
25,25,JP Duminy (SA),2007-2019,81,81,35,35,0,0,35,2 (2ct 0st),0.43200000000000005
26,26,KJ O'Brien (IRE),2008-2019,90,86,34,34,0,0,34,2 (2ct 0st),0.395
27,27,KA Pollard (WI),2008-2019,68,68,34,34,0,0,34,2 (2ct 0st),0.5
28,28,MH Cross (SCOT),2013-2019,43,41,33,22,11,22,0,3 (2ct 1st),0.804
29,29,TM Dilshan (SL),2006-2016,80,80,33,31,2,5,26,2 (2ct 0st),0.41200000000000003
30,30,AD Hales (ENG),2011-2019,60,59,32,32,0,0,32,2 (2ct 0st),0.542
31,31,BN Cooper (NL),2013-2019,51,50,31,31,0,0,31,2 (2ct 0st),0.62
32,32,Mahmudullah (BDESH),2007-2019,83,81,31,31,0,0,31,2 (2ct 0st),0.382
33,33,DJG Sammy (WI/World),2007-2017,68,68,31,31,0,0,31,4 (4ct 0st),0.455
34,34,JM Bairstow (ENG),2011-2019,34,34,30,30,0,8,22,2 (2ct 0st),0.882
35,35,GJ Maxwell (AUS),2012-2019,61,60,30,30,0,0,30,2 (2ct 0st),0.5
36,36,NLTC Perera (ICC/SL/World),2010-2019,79,79,30,30,0,0,30,2 (2ct 0st),0.379
37,37,L Ronchi (AUS/ICC/NZ),2008-2018,33,33,30,24,6,24,0,3 (3ct 0st),0.909
38,38,Shahid Afridi (ICC/PAK),2006-2018,99,99,30,30,0,0,30,3 (3ct 0st),0.303
39,39,TG Southee (NZ),2008-2019,66,65,29,29,0,0,29,2 (2ct 0st),0.446
40,40,PW Borren (NL),2008-2017,43,41,28,28,0,0,28,4 (4ct 0st),0.682
41,41,SA Edwards (NL),2018-2019,29,28,28,24,4,24,0,3 (3ct 0st),1.0
42,42,PM Seelaar (NL),2008-2019,69,67,28,28,0,0,28,2 (2ct 0st),0.41700000000000004
43,43,W Barresi (NL),2012-2019,42,40,27,26,1,26,0,4 (4ct 0st),0.675
44,44,JC Buttler (ENG),2011-2018,66,65,27,23,4,21,2,3 (3ct 0st),0.415
45,45,CS MacLeod (SCOT),2009-2019,49,49,27,27,0,0,27,4 (4ct 0st),0.551
46,46,Najibullah Zadran (AFG),2012-2019,57,57,27,27,0,0,27,2 (2ct 0st),0.473
47,47,NJ O'Brien (IRE),2008-2016,30,28,27,17,10,15,2,4 (3ct 1st),0.9640000000000001
48,48,KS Williamson (NZ),2011-2019,57,56,27,27,0,0,27,3 (3ct 0st),0.48200000000000004
49,49,NL McCullum (NZ),2007-2016,63,63,26,26,0,0,26,3 (3ct 0st),0.41200000000000003
50,0,H Masakadza (ZIM),2006-2019,66,66,25,25,0,0,25,3 (3ct 0st),0.37799999999999995
51,1,Mohammad Hafeez (PAK),2006-2018,89,89,25,25,0,0,25,2 (2ct 0st),0.28
52,2,Sabbir Rahman (BDESH),2014-2019,44,43,25,25,0,0,25,3 (3ct 0st),0.581
53,3,AJ Finch (AUS),2011-2019,58,57,24,24,0,0,24,3 (3ct 0st),0.42100000000000004
54,4,DJ Hussey (AUS),2008-2012,39,39,24,24,0,0,24,2 (2ct 0st),0.615
55,5,BJ Haddin (AUS),2006-2014,34,34,23,17,6,17,0,3 (3ct 0st),0.6759999999999999
56,6,CJ Jordan (ENG),2014-2019,43,43,23,23,0,0,23,3 (3ct 0st),0.534
57,7,AD Mathews (SL),2009-2018,72,72,23,23,0,0,23,2 (2ct 0st),0.319
58,8,HH Pandya (INDIA),2016-2019,40,40,23,23,0,0,23,2 (2ct 0st),0.575
59,9,Soumya Sarkar (BDESH),2015-2019,46,45,23,23,0,0,23,2 (2ct 0st),0.511
60,10,SR Thompson (IRE),2014-2019,41,39,23,23,0,0,23,3 (3ct 0st),0.589
61,11,CL White (AUS),2007-2014,47,47,23,23,0,0,23,2 (2ct 0st),0.489
62,12,AT Carey (AUS),2018-2019,25,24,22,13,9,13,0,3 (1ct 2st),0.9159999999999999
63,13,ADS Fletcher (WI),2008-2018,42,42,22,21,1,10,11,3 (2ct 1st),0.523
64,14,WTS Porterfield (IRE),2008-2018,61,59,22,22,0,0,22,2 (2ct 0st),0.37200000000000005
65,15,PR Stirling (IRE),2009-2019,72,71,22,22,0,0,22,3 (3ct 0st),0.309
66,16,SCJ Broad (ENG),2006-2014,56,56,21,21,0,0,21,3 (3ct 0st),0.375
67,17,F du Plessis (SA/World),2012-2019,44,44,21,21,0,0,21,2 (2ct 0st),0.47700000000000004
68,18,SPD Smith (AUS),2010-2019,36,36,21,21,0,0,21,3 (3ct 0st),0.583
69,19,Asghar Afghan (AFG),2010-2019,66,66,20,20,0,0,20,2 (2ct 0st),0.303
